symbol,sector
NATF,Food & Personal Care Products
PAEL,Cable & Electrical Goods
FCL,Cable & Electrical Goods
LUCK,Cement
FCCL,Cement
PRL,Refinery
FFC,Fertilizer
FATIMA,Fertilizer
EFERT,Fertilizer
KEL,Power Generation & Distribution
MARI,Oil & Gas Exploration
OGDC,Oil & Gas Exploration
GHGL,Glass & Ceramics
PSO,Oil & Gas Marketing
PPL,Oil & Gas Exploration
IBLHL,Pharmaceuticals
SEARL,Pharmaceuticals
HUBC,Power
SYS,Technology & Communication
NML,Textile Composite
FFL,Food & Personal Care Products
PIBTL,Transport
DFSM,Textile Spinning
BECO,Engineering
SAZEW,Automobile Assembler
AVN,Technology & Communication
ISL,Engineering